# z, u, v, w
1.005000000000000000e+03 4.760082893615070532e+00 3.939270984472867720e+00 5.485824229432378747e-10
1.011000000000000000e+03 4.761148914907735730e+00 3.941767934758374725e+00 4.787744894609339803e-10
1.017000000000000000e+03 4.763333334488284443e+00 3.943724635570998949e+00 5.705846376202549365e-10
1.023000000000000000e+03 4.765565403194782945e+00 3.947067752852822853e+00 8.662598776433213321e-10
1.029000000000000000e+03 4.769872238428633615e+00 3.949052804195888999e+00 4.699838633053020526e-10
1.035000000000000000e+03 4.774198807848270221e+00 3.953469020992034455e+00 4.961069086460520000e-10
1.041000000000000000e+03 4.781863636042250398e+00 3.954821412403933145e+00 -1.820694351918145387e-10
1.047000000000000000e+03 4.789290309175755489e+00 3.959553449776457956e+00 1.256220799722379034e-09
1.053000000000000000e+03 4.804265371050195021e+00 3.959335448085349984e+00 7.897427703516804267e-10
1.059000000000000000e+03 4.819121563061515623e+00 3.962699501212820330e+00 1.022200288183907279e-09
1.065000000000000000e+03 4.850888821106086546e+00 3.958686363862994551e+00 9.281428626836275248e-10
1.071000000000000000e+03 4.886080680496999840e+00 3.948133253757123207e+00 5.483659164991797022e-10
1.077000000000000000e+03 4.964566891248641589e+00 3.917776693617271100e+00 7.382901209504094910e-10
1.083000000000000000e+03 5.045106458363741275e+00 3.861819428479961847e+00 6.424084139884219370e-10
1.089000000000000000e+03 5.171054685718718957e+00 3.802364649728186663e+00 6.734592154429041260e-10
1.095000000000000000e+03 5.274189048247762024e+00 3.740420040230131526e+00 3.072763720077183678e-10
1.101000000000000000e+03 5.322836579117026012e+00 3.718977148139241073e+00 3.890992310736854117e-10
1.107000000000000000e+03 5.329053098055743121e+00 3.718536745319610759e+00 4.352823094308620733e-10
1.113000000000000000e+03 5.318268380876584267e+00 3.725074802413219199e+00 5.028164929659501828e-10
1.119000000000000000e+03 5.305385307708711196e+00 3.730819361254244626e+00 7.286330179844115932e-10
1.125000000000000000e+03 5.294985528004277242e+00 3.734860885054319901e+00 3.977103210787057056e-10
1.131000000000000000e+03 5.285873128059530579e+00 3.734451619494915775e+00 7.319344020123994577e-10
1.137000000000000000e+03 5.278576968828617488e+00 3.726863192863466345e+00 3.272163964315586814e-10
1.143000000000000000e+03 5.280540180363707314e+00 3.718065383776048005e+00 8.578896847603586056e-10
1.149000000000000000e+03 5.300203796695726055e+00 3.707450533927056036e+00 5.396612735142722283e-10
1.155000000000000000e+03 5.326003038655260369e+00 3.702967371346481240e+00 8.307950049855034999e-10
1.161000000000000000e+03 5.344574523579914249e+00 3.701481598934653228e+00 3.128531794458581735e-10
1.167000000000000000e+03 5.353465033700301134e+00 3.702323698325567847e+00 5.041200662758329258e-10
1.173000000000000000e+03 5.356457085231909332e+00 3.703109577191003865e+00 9.535206958779171062e-11
1.179000000000000000e+03 5.356993997271133345e+00 3.703379445186039121e+00 1.208065871687044375e-10
1.185000000000000000e+03 5.356419787542066047e+00 3.702551661198084876e+00 -8.573804598446341783e-11
1.191000000000000000e+03 5.355117145088507336e+00 3.701495221740167541e+00 -7.914298430004266165e-14
1.197000000000000000e+03 5.353036597493895599e+00 3.700030763497805353e+00 -3.074121480965462469e-10
1.203000000000000000e+03 5.351273097101519660e+00 3.699422404194527836e+00 -2.378179554120425493e-10
1.209000000000000000e+03 5.349913924385383268e+00 3.699920906614500460e+00 -3.981986584918337530e-10
1.215000000000000000e+03 5.349586629567068208e+00 3.699903780280771937e+00 -3.373943026649982820e-10
1.221000000000000000e+03 5.349034340383227004e+00 3.699951503912702222e+00 -5.676128516030103138e-10
1.227000000000000000e+03 5.348609412263028773e+00 3.700054873618933815e+00 -3.579297935888688976e-10
1.233000000000000000e+03 5.348466941440668698e+00 3.700051009367861798e+00 -5.382969423789060002e-10
1.239000000000000000e+03 5.348474274101255865e+00 3.699968906378325428e+00 -3.243819271281179754e-10
1.245000000000000000e+03 5.348440360206355493e+00 3.699902178371151873e+00 -4.635012452133402361e-10
1.251000000000000000e+03 5.348383364633043868e+00 3.699807291498743211e+00 -1.398651673077529986e-10
1.257000000000000000e+03 5.348417071919642218e+00 3.699819255266622253e+00 -3.441974025139349117e-10
1.263000000000000000e+03 5.348478963939093056e+00 3.699812529898492297e+00 -3.660338099070308354e-10
1.269000000000000000e+03 5.348494414317426227e+00 3.699750563607631104e+00 -3.586219602009363286e-10
1.275000000000000000e+03 5.348438841244169240e+00 3.699696079077150923e+00 -3.145629558920580718e-10
1.281000000000000000e+03 5.348407558075114032e+00 3.699701855865675348e+00 -3.624172717733857571e-10
1.287000000000000000e+03 5.348381690405981992e+00 3.699685026102527807e+00 -4.457067354962039751e-10
1.293000000000000000e+03 5.348339671778913562e+00 3.699660911498366289e+00 -4.435635354832107860e-10
1.299000000000000000e+03 5.348298779685904059e+00 3.699617221777627307e+00 -4.189323952945461310e-10
1.305000000000000000e+03 5.348263014984484087e+00 3.699575294278792725e+00 -3.751297979078202084e-10
1.311000000000000000e+03 5.348238830614728379e+00 3.699529563123354237e+00 -2.966066012534053522e-10
1.317000000000000000e+03 5.348226122268417093e+00 3.699490156104923599e+00 -3.494052704855512019e-10
1.323000000000000000e+03 5.348229350072704058e+00 3.699483288753736776e+00 -3.079508466318612373e-10
1.329000000000000000e+03 5.348242294660291662e+00 3.699461012498624690e+00 -4.106132031619286297e-10
1.335000000000000000e+03 5.348199666831486176e+00 3.699458396339784461e+00 -1.863393265421455843e-10
