# z, uu, uv, uw, vv, vw, ww
5.070000000000000000e+02 1.040991350955231126e-01 6.840046265487957806e-03 -1.546688502670365631e-02 1.231817557557272763e-01 -1.751404270326709436e-02 2.754231163828877449e-01
5.130000000000000000e+02 1.037662765615003369e-01 7.036628823127244817e-03 -1.527532740831263371e-02 1.223065671886598010e-01 -1.730975529228434909e-02 2.738011381249663145e-01
5.190000000000000000e+02 1.034967540085910687e-01 7.278604226065661133e-03 -1.510851533377048465e-02 1.216642562413254580e-01 -1.713354300880684869e-02 2.721365907235358539e-01
5.250000000000000000e+02 1.031336462990636860e-01 7.410054850119644071e-03 -1.491244557640751187e-02 1.211951345501847133e-01 -1.691730872459892149e-02 2.704535303709416083e-01
5.310000000000000000e+02 1.028119992606052330e-01 7.521094308090394212e-03 -1.473878659385136763e-02 1.208254091800479019e-01 -1.672220640429348051e-02 2.687616036833993527e-01
5.370000000000000000e+02 1.025100313984929207e-01 7.422879061087060172e-03 -1.454245523228468728e-02 1.205057281442361988e-01 -1.649341883185606941e-02 2.670674645107168343e-01
5.430000000000000000e+02 1.020747457736778246e-01 7.283287885402889295e-03 -1.436055338049531220e-02 1.200147517151886473e-01 -1.628719504111140678e-02 2.653836170713242959e-01
5.490000000000000000e+02 1.016033085273319592e-01 7.069195096688025981e-03 -1.416879854450615178e-02 1.195541203030806160e-01 -1.606053032078694903e-02 2.637126360175433559e-01
5.550000000000000000e+02 1.009568932828643628e-01 6.901660739915443585e-03 -1.398929446944870494e-02 1.187816035967268341e-01 -1.585979589140731547e-02 2.620807217842898162e-01
5.610000000000000000e+02 1.004685934027237104e-01 6.620318236567922406e-03 -1.379875708004444680e-02 1.182582028820321762e-01 -1.563732805185398880e-02 2.604745954491096693e-01
5.670000000000000000e+02 9.976852129939230152e-02 6.384862702437263567e-03 -1.361053865050580736e-02 1.173291572630367208e-01 -1.542410488217623755e-02 2.589346840118769144e-01
5.730000000000000000e+02 9.963384906672401176e-02 6.084049271723770448e-03 -1.342670170515815678e-02 1.172164421587427313e-01 -1.520942264244410681e-02 2.573782253416668775e-01
5.790000000000000000e+02 9.938890390343756154e-02 5.951792380723739881e-03 -1.323487383389351617e-02 1.167960103113689641e-01 -1.498873942148337864e-02 2.558947560971122082e-01
5.850000000000000000e+02 9.903532477612776719e-02 5.809176701092451552e-03 -1.301659429603076873e-02 1.165896856697882650e-01 -1.473832405377312194e-02 2.545111590580997341e-01
5.910000000000000000e+02 9.897157035094868160e-02 5.682124214114506709e-03 -1.284150623085955970e-02 1.165384742064375090e-01 -1.453580140498453299e-02 2.531134429887592074e-01
5.970000000000000000e+02 9.890283168958631521e-02 5.523238514523097498e-03 -1.261020231814521594e-02 1.163454564433588495e-01 -1.428289181838346758e-02 2.517525649521137887e-01
6.030000000000000000e+02 9.901417621097102773e-02 5.372257411482958024e-03 -1.241885868097682664e-02 1.161059665590648132e-01 -1.406466243909529172e-02 2.504043491877748218e-01
6.090000000000000000e+02 9.907856014297303227e-02 5.090343399332532097e-03 -1.218123581927278189e-02 1.157976055981293079e-01 -1.380579386034121690e-02 2.490658888828992945e-01
6.150000000000000000e+02 9.925134973435040253e-02 4.831958270103992037e-03 -1.197407502057013830e-02 1.154349970569079620e-01 -1.357504078781675456e-02 2.476993496260959660e-01
6.210000000000000000e+02 9.946354652820686704e-02 4.596480694580762708e-03 -1.173951042266867771e-02 1.150433586844882283e-01 -1.331933933523656369e-02 2.462943115069587408e-01
6.270000000000000000e+02 9.961788930308830559e-02 4.465717559982870094e-03 -1.153203886609252896e-02 1.146267987035452934e-01 -1.308593992526072350e-02 2.448517347906783992e-01
6.330000000000000000e+02 9.971276975788018193e-02 4.313957990992832274e-03 -1.130545246830410439e-02 1.142972567934244649e-01 -1.283176813786863352e-02 2.433721383494301393e-01
6.390000000000000000e+02 9.962466987677411068e-02 4.161840669575454961e-03 -1.110597214846659880e-02 1.137514024177643662e-01 -1.260222528921896810e-02 2.418516714015769564e-01
6.450000000000000000e+02 9.948275133883936749e-02 3.919429124829416217e-03 -1.088249582437458320e-02 1.133558240387984861e-01 -1.235335014915438581e-02 2.402663541895400656e-01
6.510000000000000000e+02 9.909064141388393421e-02 3.590338278071285392e-03 -1.068655463041646818e-02 1.129494516890386657e-01 -1.213591724663469137e-02 2.386148407841349461e-01
6.570000000000000000e+02 9.893285018564466904e-02 3.145889236583426264e-03 -1.046386483449730960e-02 1.130187836288466530e-01 -1.189943605044766969e-02 2.368654200824386880e-01
6.630000000000000000e+02 9.848313732877608806e-02 2.560452997479990053e-03 -1.027075994619949806e-02 1.127964553478886661e-01 -1.168406001382088499e-02 2.350361691797976105e-01
6.690000000000000000e+02 9.852544148932264323e-02 1.768394910189634555e-03 -1.005709283542397144e-02 1.130947255634289772e-01 -1.146354837979994892e-02 2.330522067312310319e-01
6.750000000000000000e+02 9.806586881976765702e-02 8.924621338287201406e-04 -9.858373953493784064e-03 1.131103732488547148e-01 -1.125163335831544549e-02 2.310028235103687155e-01
6.810000000000000000e+02 9.750874853687295507e-02 -6.275646621433052165e-05 -9.629493151487629118e-03 1.130849616117123729e-01 -1.100956900913991135e-02 2.289173417315991110e-01
6.870000000000000000e+02 9.698633671428404102e-02 -1.082723585619236543e-03 -9.438684718310599506e-03 1.131910522409446951e-01 -1.081417723388177626e-02 2.267008038144995297e-01
6.930000000000000000e+02 9.624204359812724152e-02 -2.057873542245801206e-03 -9.204259584794193330e-03 1.130226487808526775e-01 -1.056957862298791954e-02 2.244214345639997110e-01
6.990000000000000000e+02 9.561253537213618148e-02 -2.939415306964778159e-03 -9.009804698411134211e-03 1.127884995596304396e-01 -1.036076607561765665e-02 2.220784061743849569e-01
7.050000000000000000e+02 9.500427072546703544e-02 -3.820767028172350824e-03 -8.780685910208627099e-03 1.122551291890594438e-01 -1.011007343858091531e-02 2.197044263121505914e-01
7.110000000000000000e+02 9.443660678896523275e-02 -4.578975225093171418e-03 -8.590650311548318416e-03 1.116681013744803275e-01 -9.888550275149799937e-03 2.173034221338448202e-01
7.170000000000000000e+02 9.390842699281960748e-02 -5.229758561125711150e-03 -8.375083199270470097e-03 1.110819925014631254e-01 -9.639990250409827613e-03 2.148761606490410814e-01
7.230000000000000000e+02 9.341867008745427525e-02 -5.877564599483050059e-03 -8.193368092065259414e-03 1.103760711844905540e-01 -9.415203705101857570e-03 2.124135574906701462e-01
7.290000000000000000e+02 9.304238668245132238e-02 -6.568152671030156632e-03 -7.984609616149039926e-03 1.096536669681916626e-01 -9.171748076610451023e-03 2.099009685105493739e-01
7.350000000000000000e+02 9.272998435175132392e-02 -7.251938725787174592e-03 -7.814479070511715433e-03 1.089252934098311476e-01 -8.948400617399245027e-03 2.073261299373662381e-01
7.410000000000000000e+02 9.267976137522160318e-02 -7.892331054540168214e-03 -7.611070776109640258e-03 1.084022789435713091e-01 -8.704658351310947881e-03 2.046834143653145366e-01
7.470000000000000000e+02 9.263492068159571990e-02 -8.495349723675538894e-03 -7.456570613061261517e-03 1.077973304070683480e-01 -8.481442987278616993e-03 2.019988557276419794e-01
7.530000000000000000e+02 9.299094476166201717e-02 -9.069424452689643992e-03 -7.256850937138764612e-03 1.075043964593053319e-01 -8.238147841780512834e-03 1.992743309548541952e-01
7.590000000000000000e+02 9.306348702068013845e-02 -9.543989409794983655e-03 -7.113061272555133360e-03 1.068919168552239785e-01 -8.010878793476897824e-03 1.965581264887263091e-01
7.650000000000000000e+02 9.369020991905845086e-02 -1.007130902902098231e-02 -6.923169334696396317e-03 1.068136896075457393e-01 -7.779979914481118669e-03 1.937976012156715500e-01
7.710000000000000000e+02 9.390008560685743355e-02 -1.059189796370165436e-02 -6.761779384808474028e-03 1.062126467267265756e-01 -7.549685064725601170e-03 1.910896362021244632e-01
7.770000000000000000e+02 9.416543006743026412e-02 -1.109977568201699072e-02 -6.596322995090084934e-03 1.054827161283709569e-01 -7.290454834188642673e-03 1.884612415339253222e-01
7.830000000000000000e+02 9.476041876066317038e-02 -1.170241608104508231e-02 -6.426819783712679236e-03 1.047583129303433919e-01 -7.069510260674354701e-03 1.858095427494844687e-01
7.890000000000000000e+02 9.535209581482781416e-02 -1.234324804142195031e-02 -6.248309322212365798e-03 1.038090432501049404e-01 -6.808221232266973601e-03 1.831754491514918648e-01
7.950000000000000000e+02 9.617311717428425610e-02 -1.301134363420604519e-02 -6.082189225603613913e-03 1.028852371087113915e-01 -6.581300857604219408e-03 1.805390158665163836e-01
8.010000000000000000e+02 9.698958762275283751e-02 -1.366154413961178857e-02 -5.905599621965684776e-03 1.019405584552840610e-01 -6.318631906169227229e-03 1.779021398384136865e-01
8.070000000000000000e+02 9.781136638875004286e-02 -1.440279220554519651e-02 -5.743943884910773616e-03 1.012088429880121654e-01 -6.084362729669726827e-03 1.752472935349613514e-01
8.130000000000000000e+02 9.852654076823291751e-02 -1.528980699191705844e-02 -5.568741805336958894e-03 1.004955952616855969e-01 -5.819678372596144914e-03 1.725834719907228532e-01
8.190000000000000000e+02 9.924872907860321503e-02 -1.625836992976586667e-02 -5.416235366024606604e-03 9.981048308833311011e-02 -5.583395126055259658e-03 1.699176635283826675e-01
8.250000000000000000e+02 1.000586531683785169e-01 -1.722934145647113391e-02 -5.247659769161089859e-03 9.941403167569724808e-02 -5.321774064924263484e-03 1.672339788545329775e-01
8.310000000000000000e+02 1.008682087573925940e-01 -1.825787237677800601e-02 -5.103740783869466571e-03 9.913163209934046372e-02 -5.093931610174570919e-03 1.645068652733321923e-01
8.370000000000000000e+02 1.019111928587625449e-01 -1.933013453775744503e-02 -4.939100921643309501e-03 9.904183022883802923e-02 -4.846441211699400141e-03 1.617086936350471127e-01
8.430000000000000000e+02 1.028278244627569837e-01 -2.034310049203789938e-02 -4.806781373371919741e-03 9.880618726679592234e-02 -4.633178807735491289e-03 1.588388958013484675e-01
8.490000000000000000e+02 1.040049391009282703e-01 -2.118102751823675370e-02 -4.641569151623951145e-03 9.884778864712834290e-02 -4.392932697343415217e-03 1.558778192588906319e-01
8.550000000000000000e+02 1.050169345363198559e-01 -2.198452361656282744e-02 -4.519402296652571052e-03 9.872490174309409006e-02 -4.179403075387918068e-03 1.528544956091508200e-01
8.610000000000000000e+02 1.066131874713624889e-01 -2.273189892033753573e-02 -4.368508856238790920e-03 9.932198022360828882e-02 -3.938071357205835676e-03 1.497207918498100754e-01
8.670000000000000000e+02 1.079164710602373428e-01 -2.356601435500778677e-02 -4.237335102059920471e-03 9.967680400407960550e-02 -3.704085064178229761e-03 1.465592633550624746e-01
8.730000000000000000e+02 1.092307297326312043e-01 -2.437963777918250932e-02 -4.112933186047987820e-03 1.001480080292326130e-01 -3.473560923241868909e-03 1.433869921900358391e-01
8.790000000000000000e+02 1.110318035694378563e-01 -2.528429923371055404e-02 -3.990067985747139216e-03 1.009768957289352564e-01 -3.240506119452303720e-03 1.401205907188223521e-01
