# z, uu, uv, uw, vv, vw, ww
5.010000000000000000e+02 9.375440459481182431e-02 -5.220176072679896806e-03 -2.535114845804869663e-02 1.102396168559485190e-01 4.725892586038415479e-03 2.971476131344747418e-01
5.070000000000000000e+02 9.449579405953700828e-02 -5.323133058796319234e-03 -2.507635869190733002e-02 1.112343878874958308e-01 4.588751375403973820e-03 2.970701371998651363e-01
5.130000000000000000e+02 9.515362387401291033e-02 -5.402716053797985279e-03 -2.480114099844637002e-02 1.121517312668301597e-01 4.455724164771681858e-03 2.969216153361250443e-01
5.190000000000000000e+02 9.585110622917619727e-02 -5.423154915113088947e-03 -2.452452821419663642e-02 1.130010277352369447e-01 4.324047069502238300e-03 2.966944193148096653e-01
5.250000000000000000e+02 9.660750524457051291e-02 -5.469902916538579851e-03 -2.423408811272543747e-02 1.137612202993263794e-01 4.201904545090810392e-03 2.963833937759517423e-01
5.310000000000000000e+02 9.730712692812529263e-02 -5.497635302950416337e-03 -2.395277485427632636e-02 1.144087125519916981e-01 4.090717843723307157e-03 2.959833501674692946e-01
5.370000000000000000e+02 9.800133913573895461e-02 -5.506629431955276099e-03 -2.365430347002007647e-02 1.149916740574627727e-01 3.984962584990153420e-03 2.954864095645596267e-01
5.430000000000000000e+02 9.853055773128785444e-02 -5.465877886086877545e-03 -2.337523020303597723e-02 1.154623365221967568e-01 3.893825149926671836e-03 2.949036314667072278e-01
5.490000000000000000e+02 9.906216710948057003e-02 -5.370886674485742494e-03 -2.307029795439438299e-02 1.160318765157190429e-01 3.814775853406142479e-03 2.942326996689119123e-01
5.550000000000000000e+02 9.940006137673881859e-02 -5.175033995583534774e-03 -2.279334498686120050e-02 1.163971208305096816e-01 3.742697133541245894e-03 2.935094120876015622e-01
5.610000000000000000e+02 9.977909125945859381e-02 -4.902079629769849276e-03 -2.247038088694573721e-02 1.168990619029493944e-01 3.675114992117590063e-03 2.927361194415746271e-01
5.670000000000000000e+02 9.984549173299810121e-02 -4.565418774539957252e-03 -2.217617112279825914e-02 1.170292798388046784e-01 3.617747300520402984e-03 2.919603321702741172e-01
5.730000000000000000e+02 1.002097370284344841e-01 -4.234176023743178516e-03 -2.184490563971917126e-02 1.174848235136128072e-01 3.572579294643883716e-03 2.910960879195519935e-01
5.790000000000000000e+02 1.001902561686146831e-01 -3.897195191784045675e-03 -2.152101471669671043e-02 1.174834281045477602e-01 3.538759513188328033e-03 2.902220794889521782e-01
5.850000000000000000e+02 9.994048348160117223e-02 -3.560801146146224186e-03 -2.118133904353166827e-02 1.175272008909433452e-01 3.512379526706840404e-03 2.893446929007087998e-01
5.910000000000000000e+02 9.997348606377788605e-02 -3.106098251919115188e-03 -2.086479960538569975e-02 1.177715308562231472e-01 3.490879300971400263e-03 2.883164542484288329e-01
5.970000000000000000e+02 9.980451232317233412e-02 -2.581468457038197609e-03 -2.051763157243108315e-02 1.179985959019868164e-01 3.472811859391420133e-03 2.871948474206372781e-01
6.030000000000000000e+02 9.983688092506003142e-02 -2.016936600212698109e-03 -2.020356064204335486e-02 1.183760325434765753e-01 3.449122005159156300e-03 2.859605916599903264e-01
