# z, uu, uv, uw, vv, vw, ww
4.290000000000000000e+02 1.391597872288423687e-01 -2.278688167747650473e-03 -2.990002395324473095e-02 1.234435470628928166e-01 -1.607339586321874245e-03 2.705277731126170537e-01
4.350000000000000000e+02 1.372955502987908694e-01 -2.618622283577574320e-03 -2.964272542253887019e-02 1.231317754964536548e-01 -1.486556304836752183e-03 2.694601341636631564e-01
4.410000000000000000e+02 1.353733202959827575e-01 -2.950818871267387247e-03 -2.938330628629548177e-02 1.226354563427320687e-01 -1.369787301458975752e-03 2.684130310526743890e-01
4.470000000000000000e+02 1.334381429577542466e-01 -3.238594417160757782e-03 -2.912553727756524158e-02 1.219186928626442984e-01 -1.264996460121392595e-03 2.673790931569694496e-01
4.530000000000000000e+02 1.316243656148219365e-01 -3.435236689502930377e-03 -2.887314182127725948e-02 1.211142864630403715e-01 -1.167423167889915193e-03 2.663507708187627387e-01
4.590000000000000000e+02 1.298970973980684562e-01 -3.579114472645193810e-03 -2.862109487697456905e-02 1.202215289499383027e-01 -1.088001959073938438e-03 2.653391735532174556e-01
4.650000000000000000e+02 1.284420474933611889e-01 -3.702162780629190356e-03 -2.837175260071943955e-02 1.194372268230181611e-01 -1.011621036792754048e-03 2.643425461829815859e-01
4.710000000000000000e+02 1.270378919716516619e-01 -3.825959810144553309e-03 -2.811489417534345989e-02 1.185029668188750523e-01 -9.535847292580035359e-04 2.633866625766712599e-01
4.770000000000000000e+02 1.259735070336038820e-01 -3.963650249644888081e-03 -2.788616780472756226e-02 1.177737800955928199e-01 -8.984295176666911567e-04 2.624325722456403165e-01
4.830000000000000000e+02 1.247340375624577252e-01 -4.026843122541314338e-03 -2.764217061365838515e-02 1.165488642589101176e-01 -8.513396870342887284e-04 2.615494998228121148e-01
4.890000000000000000e+02 1.235811218959646379e-01 -4.067277881180881953e-03 -2.738326182841674394e-02 1.155636620403725362e-01 -8.041062179768729496e-04 2.607486552889861642e-01
4.950000000000000000e+02 1.223973715185653482e-01 -4.156664220432460498e-03 -2.716973772341665927e-02 1.145592266650874019e-01 -7.668046421660556274e-04 2.599423417618291210e-01
5.010000000000000000e+02 1.211445689475971199e-01 -4.279114071878520158e-03 -2.693326742629201243e-02 1.136287405801493788e-01 -7.255396502752237305e-04 2.591494296749321524e-01
5.070000000000000000e+02 1.198270364913553709e-01 -4.361845279652379857e-03 -2.673457730817663247e-02 1.127095200224671329e-01 -6.921248334403570009e-04 2.583572833525690227e-01
5.130000000000000000e+02 1.184754813726640599e-01 -4.350919201314942114e-03 -2.652495446031603518e-02 1.118334102568355609e-01 -6.576286030931140225e-04 2.575757216769201663e-01
5.190000000000000000e+02 1.171401158164492307e-01 -4.244938875733782549e-03 -2.634551662816157769e-02 1.109786513938613162e-01 -6.304869974547586348e-04 2.568025281173054175e-01
5.250000000000000000e+02 1.158788320805491795e-01 -4.074556965641038496e-03 -2.616666699142271985e-02 1.101825055892835525e-01 -6.012571840822517272e-04 2.560336496410898222e-01
5.310000000000000000e+02 1.146384052659162600e-01 -3.872679578220279781e-03 -2.600493656159975561e-02 1.094573706975987826e-01 -5.729556604842892149e-04 2.552552724371103254e-01
5.370000000000000000e+02 1.134364209480658997e-01 -3.681780135212986155e-03 -2.584166249101762028e-02 1.088570736240935255e-01 -5.435035729994036526e-04 2.544494912533459274e-01
5.430000000000000000e+02 1.122429617713205929e-01 -3.489134903027835740e-03 -2.569010429857556885e-02 1.083124784891259934e-01 -5.162897470362886937e-04 2.536016743014283259e-01
5.490000000000000000e+02 1.111146972790513915e-01 -3.259248994426041258e-03 -2.553580751637586632e-02 1.078093843410486419e-01 -4.861487936518055653e-04 2.526952352795939771e-01
5.550000000000000000e+02 1.099881205963024744e-01 -2.983018404405539045e-03 -2.538081429288902360e-02 1.072441201053380422e-01 -4.586283401430289101e-04 2.517227387825279328e-01
5.610000000000000000e+02 1.089643641610942293e-01 -2.699317596060941179e-03 -2.521799723424455672e-02 1.067903363138625744e-01 -4.278942065443046153e-04 2.506606396149507754e-01
5.670000000000000000e+02 1.078454368203839581e-01 -2.345131421866764477e-03 -2.504035537596772942e-02 1.062390183284145639e-01 -4.037762897605163127e-04 2.495159367153587104e-01
5.730000000000000000e+02 1.069494385787503887e-01 -1.992282801207091725e-03 -2.486666317838455431e-02 1.059139230215353777e-01 -3.803784631798186192e-04 2.482478177790045648e-01
5.790000000000000000e+02 1.058575501991032008e-01 -1.580496041905501232e-03 -2.467240151868101139e-02 1.053069761291559880e-01 -3.596554292572447784e-04 2.469167721597619602e-01
5.850000000000000000e+02 1.048927613661716357e-01 -1.254390963412534621e-03 -2.445902696867089179e-02 1.048555413277705572e-01 -3.495119272703351094e-04 2.455398743931631877e-01
5.910000000000000000e+02 1.039054700825491617e-01 -1.027186887603786939e-03 -2.427207065831710892e-02 1.043175326413893628e-01 -3.489776616822616519e-04 2.440459403737455513e-01
5.970000000000000000e+02 1.029656558054941745e-01 -9.350754968315985955e-04 -2.405899373545943368e-02 1.037632696509760283e-01 -3.548874510918939465e-04 2.424508734170010837e-01
6.030000000000000000e+02 1.022237961377898408e-01 -9.231464892468435731e-04 -2.386582279122585748e-02 1.031892717045838070e-01 -3.742711446545216730e-04 2.407437067308171308e-01
6.090000000000000000e+02 1.016890008735330669e-01 -9.527015196040824422e-04 -2.366208693132981072e-02 1.025826584442843109e-01 -3.985919417385943393e-04 2.389395021029903088e-01
6.150000000000000000e+02 1.013033090991620339e-01 -9.953469662758271819e-04 -2.347343067538186154e-02 1.019684797192004500e-01 -4.278231671165726689e-04 2.370505836070568306e-01
6.210000000000000000e+02 1.010215775317172548e-01 -1.043906653779365541e-03 -2.328130232372824238e-02 1.013626256799885911e-01 -4.532844458833887834e-04 2.350937620908407633e-01
6.270000000000000000e+02 1.007514199239794572e-01 -1.115740406687032839e-03 -2.310157332345105091e-02 1.007417946049805613e-01 -4.780964902500275428e-04 2.330821567176754872e-01
6.330000000000000000e+02 1.004559014062928884e-01 -1.234131353756968020e-03 -2.291992496974815108e-02 1.001056153514902625e-01 -4.977018699326630395e-04 2.310271230409855492e-01
