# z, u, v, w
5.490000000000000000e+02 4.901732904538901536e+00 3.977360744932018299e+00 -2.989124261301370911e-11
5.550000000000000000e+02 4.904190298516694746e+00 3.977894619624524619e+00 -5.214982540695310404e-11
5.610000000000000000e+02 4.906532934485611008e+00 3.978348632729446610e+00 -8.767460507679535285e-11
5.670000000000000000e+02 4.908961483741871135e+00 3.978596457234570671e+00 1.807965173544539859e-10
5.730000000000000000e+02 4.911384072646609589e+00 3.978576740357668839e+00 1.525324651861434358e-10
5.790000000000000000e+02 4.914045520505539777e+00 3.978397059621622489e+00 1.290595561517348518e-10
5.850000000000000000e+02 4.916365652154095045e+00 3.978009697685489510e+00 2.373227681489289153e-10
5.910000000000000000e+02 4.918678290962969157e+00 3.977595727576771711e+00 2.371840457564148241e-10
5.970000000000000000e+02 4.920803887164482582e+00 3.977141043158220590e+00 2.608428964795406076e-10
6.030000000000000000e+02 4.922954389215704829e+00 3.976590401028983646e+00 3.717020532259356302e-10
6.090000000000000000e+02 4.924994296226045343e+00 3.975826035311038176e+00 2.374076859992411452e-10
6.150000000000000000e+02 4.927009800515582683e+00 3.974840093768745142e+00 2.971000175005893281e-11
6.210000000000000000e+02 4.929016613778083311e+00 3.973713220813629654e+00 9.733605382524976575e-11
6.270000000000000000e+02 4.931113052846397338e+00 3.972576821676226277e+00 2.848272962351246060e-11
6.330000000000000000e+02 4.933291628266713857e+00 3.971540707173829343e+00 1.268742578528631155e-10
6.390000000000000000e+02 4.935589586800975148e+00 3.970601626731703249e+00 1.762529793393388065e-10
6.450000000000000000e+02 4.938012542762984403e+00 3.969752198823843337e+00 1.709642921505875773e-10
6.510000000000000000e+02 4.940536383595395264e+00 3.968841425970557779e+00 1.737113106347557585e-11
6.570000000000000000e+02 4.943080391429801601e+00 3.967774076928679339e+00 -1.117836150749845043e-10
6.630000000000000000e+02 4.945594064612118146e+00 3.966413140938134241e+00 4.438631685038424571e-10
6.690000000000000000e+02 4.947825396908178242e+00 3.964836172587839158e+00 3.709675520302199532e-10
6.750000000000000000e+02 4.949962851706712463e+00 3.962815575639799359e+00 3.103267872228481853e-10
6.810000000000000000e+02 4.951514247373196120e+00 3.960679530204934462e+00 5.866747525883628729e-10
6.870000000000000000e+02 4.952770994189367393e+00 3.958327177421846699e+00 3.045690852632176822e-10
6.930000000000000000e+02 4.953500481852178616e+00 3.955897256273478657e+00 6.318457156234257449e-10
6.990000000000000000e+02 4.953988388093550022e+00 3.953401967420602237e+00 6.517265164027175468e-10
7.050000000000000000e+02 4.954241477189031073e+00 3.950970900764831484e+00 7.119283834542116932e-10
7.110000000000000000e+02 4.954439680232284537e+00 3.948621180649195761e+00 3.839307011869325272e-10
7.170000000000000000e+02 4.954536830029524275e+00 3.946302905014994700e+00 6.383299033526235892e-10
7.230000000000000000e+02 4.954648684592288355e+00 3.943874554376454622e+00 5.704002173946825394e-10
7.290000000000000000e+02 4.954800011585057007e+00 3.941266980058016678e+00 8.658848798513176315e-10
7.350000000000000000e+02 4.955029241355650704e+00 3.938361167438781507e+00 1.007042583623697715e-09
7.410000000000000000e+02 4.955282892876113010e+00 3.935264771192016564e+00 1.063589037875135453e-09
7.470000000000000000e+02 4.955595420978634813e+00 3.931969473821255612e+00 9.128410000529360764e-10
7.530000000000000000e+02 4.955950189712881482e+00 3.928673728876447946e+00 7.570139995949006903e-10
7.590000000000000000e+02 4.956424201605915236e+00 3.925301309696547669e+00 1.428687034213610850e-09
7.650000000000000000e+02 4.957077885229106862e+00 3.922208381744026084e+00 1.330214954538668291e-09
7.710000000000000000e+02 4.958113827302363497e+00 3.919018229143258036e+00 1.342078318068414098e-09
7.770000000000000000e+02 4.959178827095700903e+00 3.916138166505458429e+00 1.416511729127533684e-09
7.830000000000000000e+02 4.960452255957604528e+00 3.913148262854691861e+00 1.642528984007829571e-09
7.890000000000000000e+02 4.961754181576571554e+00 3.910346897638366404e+00 1.340225638666822097e-09
7.950000000000000000e+02 4.963324934213932949e+00 3.907740134208089966e+00 1.345096525404241476e-09
8.010000000000000000e+02 4.965076670649306578e+00 3.905533372731800235e+00 1.267428364422405516e-09
8.070000000000000000e+02 4.967063713704421346e+00 3.903649160594672818e+00 1.570541071147673650e-09
8.130000000000000000e+02 4.969127963021710670e+00 3.902161697307622745e+00 1.151807686136044996e-09
8.190000000000000000e+02 4.971241114981244991e+00 3.901021625996234032e+00 1.284952061897783180e-09
8.250000000000000000e+02 4.973248383125411287e+00 3.900149977643658339e+00 1.002027207038284038e-09
8.310000000000000000e+02 4.975093849868549967e+00 3.899568220623897741e+00 9.854384441921986384e-10
8.370000000000000000e+02 4.976660054482477058e+00 3.899355279877258607e+00 7.738312116938603584e-10
8.430000000000000000e+02 4.978008831267157319e+00 3.899558119266584910e+00 1.014951459858280785e-09
8.490000000000000000e+02 4.979127857843252514e+00 3.900263694763780098e+00 9.242993584478815512e-10
8.550000000000000000e+02 4.980049009175956165e+00 3.901444188917869038e+00 7.743432596437564515e-10
8.610000000000000000e+02 4.980714897630309501e+00 3.902873763249765648e+00 6.964008993767898963e-10
8.670000000000000000e+02 4.981265189837609242e+00 3.904642773631016972e+00 9.657158626551285992e-10
8.730000000000000000e+02 4.981713078392445482e+00 3.906311289894495165e+00 8.328457981407835450e-10
8.790000000000000000e+02 4.982254810555774682e+00 3.908140129047995348e+00 6.840438557255325808e-10
8.850000000000000000e+02 4.982810529761682261e+00 3.909719846666070087e+00 8.159936246548537292e-10
8.910000000000000000e+02 4.983645674751636001e+00 3.911127361096842669e+00 8.394511672862609876e-10
8.970000000000000000e+02 4.984765496147824493e+00 3.912188074455551501e+00 8.989978189301198451e-10
9.030000000000000000e+02 4.986207192162110502e+00 3.912841354532837990e+00 4.440707720966552314e-10
9.090000000000000000e+02 4.987906959738622525e+00 3.913070154187421767e+00 7.596732035684795072e-10
9.150000000000000000e+02 4.989926918258303701e+00 3.913016274219995871e+00 7.387258317556447619e-10
9.210000000000000000e+02 4.992101454635667679e+00 3.912762419299330219e+00 9.675338495170483811e-10
9.270000000000000000e+02 4.994594567194134527e+00 3.912459085154278871e+00 1.173611111315766655e-09
9.330000000000000000e+02 4.997402503224772197e+00 3.912107037341111759e+00 1.006106464124755255e-09
9.390000000000000000e+02 5.000569071234429508e+00 3.911600030618459289e+00 1.122316914791983015e-09
9.450000000000000000e+02 5.003747306737776235e+00 3.911037997329326110e+00 7.931153252752586238e-10
9.510000000000000000e+02 5.007019713808873007e+00 3.910546932440932100e+00 1.951280045901543737e-09
9.570000000000000000e+02 5.010293136546081882e+00 3.910179457000494629e+00 1.683267009912727314e-09
9.630000000000000000e+02 5.014085572700479609e+00 3.909842266588955173e+00 1.405838848493221881e-09
9.690000000000000000e+02 5.017646117591750610e+00 3.909498282410140302e+00 1.520166006469360857e-09
9.750000000000000000e+02 5.021696546106411141e+00 3.909097314576392979e+00 1.573659629507855379e-09
9.810000000000000000e+02 5.025658425412186325e+00 3.908834842816460320e+00 1.277756650206439163e-09
9.870000000000000000e+02 5.029809765187658321e+00 3.908753461909900029e+00 1.714944450452871921e-09
9.930000000000000000e+02 5.033769356157860919e+00 3.909031955861514973e+00 1.097940890632616224e-09
9.990000000000000000e+02 5.037661968756183661e+00 3.909538987246514274e+00 6.354352110702005825e-10
